cases,ICU,DEATHS,TESTS
38,5,3,0
103,8,4,250
21,9,4,0
35,11,5,700
31,13,5,600
46,16,6,320
31,20,9,580
35,18,13,11
94,34,15,600
71,35,17,600
48,45,20,630
92,53,22,176
71,57,26,638
74,66,28,427
95,69,32,1424
95,69,38,1289
56,72,43,1289
102,85,49,1289
101,90,50,788
129,91,53,810
69,92,59,771
60,91,68,618
62,93,73,1494
20,90,79,3593
77,90,81,896
52,84,83,212
71,79,86,740
54,77,90,2391
72,75,93,3944
33,76,98,1106
31,73,99,1798
25,76,101,1912
22,72,102,4917
15,69,105,1156
17,69,108,1986
11,67,110,1986
0,67,110,2001
10,61,116,2255
156,59,121,1645
7,55,121,0
55,52,125,1054
27,48,130,1322
16,47,130,1326
11,46,134,2249
17,43,136,2183
32,40,138,1663
10,41,139,1521
15,38,140,1486
21,36,140,3739
8,37,143,2297
6,37,144,304
6,35,146,2081
10,35,146,956
21,36,147,1125
15,33,148,1619
13,32,150,2799
19,28,151,3302
6,30,151,2991
10,32,151,4248
18,32,152,3093
16,28,155,1493
10,24,156,486
40,23,160,6691
9,23,162,5988
15,22,163,4191
2,24,165,3782
4,22,165,6268
10,22,166,2242
3,21,168,3159
21,19,169,4317
3,20,171,3444
2,19,171,4633
4,18,172,388
7,18,173,504
18,17,173,965
3,16,175,1074
5,16,175,5954
7,14,175,5254
2,13,175,4222
2,12,179,4377
19,11,179,3472
6,11,179,2202
9,9,180,1905
15,9,180,3167
13,9,180,417
17,9,180,417
52,10,182,8898
9,10,183,8898
11,12,183,8898
20,14,183,8898
20,14,183,224
4,13,183,5517
9,13,183,3648
13,13,184,2943
15,12,185,3585
55,11,187,3471
24,10,188,3931
10,10,189,4882
19,10,190,5194
10,9,190,5408
21,8,190,4373
16,8,190,4184
8,8,190,4251
13,9,191,2843
22,11,191,5198
23,11,191,4452
10,10,191,
15,11,191,4011
20,9,192,5293
23,9,192,3993
28,8,192,3255
28,8,192,4383
25,11,192,3207
9,11,192,4445
43,11,192,5024
27,10,193,6252
33,9,193,5451
50,9,193,3174
60,9,193,8756
41,9,193,6106
31,10,193,3535
24,12,193,4687
58,13,193,7755
27,13,193,2765
35,14,193,882
28,12,194,3555
19,12,194,5466
25,13,194,6574
11,12,195,4325
36,10,197,3368
32,10,200,4726
33,8,201,2994
26,8,201,6146
31,10,201,4769
27,9,202,6189
35,9,202,5646
52,8,203,3646
57,8,203,7529
65,7,203,3632
78,9,206,6223
110,10,206,53889
75,12,208,8458
77,13,209,9968
121,13,209,9638
124,13,210,5946
153,14,210,19417
151,14,210,34853
152,17,211,9874
203,22,212,981
126,24,213,1159
196,26,214,9314
262,24,216,10701
204,22,221,718
254,22,223,10561
230,23,226,11046
217,24,228,7553
150,23,230,17583
269,25,232,10582
217,28,235,3808
269,30,235,765
209,28,238,1391
264,31,240,63411
284,31,242,12168
170,31,242,10354
168,31,243,11211
293,33,248,10365
259,35,254,9758
270,35,259,14412
177,36,260,15441
157,35,262,15441
183,36,266,13833
207,38,271,13737
233,38,273,988
241,39,278,8485
202,38,279,16979
187,40,280,14204
144,41,284,12016
156,42,289,10576
169,42,290,11922
248,46,293,12554
372,49,297,10218
287,52,300,12423
302,53,302,16046
207,54,305,16096
180,59,310,11953
310,67,313,18638
312,67,316,1289
359,69,325,7145
339,71,327,11522
240,65,331,13348
170,78,338,12395
453,79,344,1142
346,77,352,12301
358,73,357,82
342,68,366,7905
286,63,369,10899
315,68,376,12212
218,68,379,13134
269,73,383,10073
416,79,388,12619
354,78,391,9532
411,89,393,6107
460,85,398,12101
267,79,405,10754
229,82,409,10787
303,83,417,9706
399,87,420,11622
407,88,424,9459
436,91,430,6003
391,98,431,12105
306,100,436,11805
280,93,449,11234
295,91,456,10587
408,89,462,12981
436,86,469,9162
453,82,482,667
508,81,490,19561
482,83,500,20126
438,84,509,19856
438,85,520,19247
667,87,528,18798
865,86,534,14898
882,90,549,7236
841,89,559,19406
935,91,564,19915
790,84,574,20327
715,95,581,20449
1259,102,593,20072
1547,108,603,1659
1211,114,615,11978
169,128,620,20198
2056,135,626,20123
1678,140,635,12069
1152,153,642,23323
2166,169,655,2348
2646,179,673,14708
2917,187,701,11986
2448,196,715,25075
2556,207,749,24204
1914,228,784,23176
149,239,825,25987
2384,263,866,24086
2752,297,909,15112
3316,310,959,10687
3038,336,997,25217
2835,366,1035,25714
1698,392,1106,24922
2198,400,1165,2497
2422,443,1228,24896
3209,480,1288,14262
3227,499,1347,11911
2581,519,1419,23954
2311,522,1527,25765
1498,540,1630,23325
1388,549,1714,23148
2135,562,1815,22798
2152,597,1902,12698
2018,608,2001,11209
2013,607,2102,22166
1747,606,2223,21361
1193,603,2321,21211
1044,600,2406,21061
2199,596,2517,21112
2186,613,2606,1232
1882,622,2706,7203
1667,612,2804,21032
1383,594,2902,19112
904,600,3003,18904
1251,600,3092,18241
1382,579,3194,19092
1677,578,3289,9214
1534,571,3370,6105
